name,role,layer,src_type,n_elem,n_measured,sampled,rms_w,absmax_rel_mse,absmax_rms_err,absmax_max_abs_err,absmax_cos,absmax_sqnr_db
token_embd.weight,embed,-1,Q4_K,1409286144,8000000,True,0.015291932361819053,0.197486162601637,0.007517061850590725,0.25093692541122437,0.9129017123777714,7.044633289807316
blk.0.attn_k.weight,attn_k,0,Q4_0,22020096,8000000,True,0.016757823705305944,0.15219756565997844,0.006296031513187614,0.06491218507289886,0.9293371701626011,8.175922938788053
blk.0.attn_output.weight,attn_o,0,Q4_0,44040192,8000000,True,0.012042834239071399,0.1449497867439067,0.0046248157513534335,0.0620880126953125,0.9326159847620697,8.387824192604338
blk.0.attn_q.weight,attn_q,0,Q4_0,44040192,8000000,True,0.016111011392662338,0.15182326877348104,0.0061832513012238435,0.06058470159769058,0.9294366091148394,8.186616623964794
blk.0.attn_v.weight,attn_v,0,Q4_0,22020096,8000000,True,0.01688951725816294,0.15047471308328503,0.0064554056994867905,0.0724334716796875,0.9300005900778522,8.225364760906613
blk.0.ffn_down.weight,ffn_down,0,Q4_1,115605504,8000000,True,0.011511370730889783,0.15950033130156557,0.004609293128467999,0.0556773915886879,0.9280401898252382,7.9723841052346245
blk.0.ffn_gate.weight,ffn_gate,0,Q4_0,115605504,8000000,True,0.0150864613504926,0.15364594760161404,0.005909248141238485,0.04327479004859924,0.9286691242774593,8.13478889735402
blk.0.ffn_up.weight,ffn_up,0,Q4_0,115605504,8000000,True,0.01528472413634175,0.15253633970734054,0.005951034310012376,0.05192974582314491,0.9292625503458488,8.166266792399279
blk.1.attn_k.weight,attn_k,1,Q4_0,22020096,8000000,True,0.017545578172405107,0.15269701614815712,0.00697528453183262,0.0625782236456871,0.9289893690275093,8.161694494075697
blk.1.attn_output.weight,attn_o,1,Q4_0,44040192,8000000,True,0.012619128452970453,0.1480318521905255,0.004813321275640595,0.056304931640625,0.9309919061586436,8.296448268873492
blk.1.attn_q.weight,attn_q,1,Q4_0,44040192,8000000,True,0.01707788626524515,0.1507967139820516,0.007016991106047351,0.04442671313881874,0.9297585259134619,8.216081220936406
blk.1.attn_v.weight,attn_v,1,Q4_0,22020096,8000000,True,0.017166692746398527,0.15453590153335875,0.0066703536596298095,0.0843048095703125,0.9282764383433115,8.109706099184095
blk.1.ffn_down.weight,ffn_down,1,Q4_1,115605504,8000000,True,0.010833344571008135,0.1494518797895752,0.004163759157177334,0.04318323731422424,0.9316032737616697,8.254986180813386
blk.1.ffn_gate.weight,ffn_gate,1,Q4_0,115605504,8000000,True,0.016052032120930912,0.15356802444921594,0.0062940072818087655,0.04760226607322693,0.9287174993291722,8.136992026046304
blk.1.ffn_up.weight,ffn_up,1,Q4_0,115605504,8000000,True,0.016089942315265837,0.1533806310054043,0.006320870314486275,0.05192974582314491,0.9288209529686193,8.142294798823249
blk.2.attn_k.weight,attn_k,2,Q4_0,22020096,8000000,True,0.0154661315680639,0.15143706862424242,0.005930124165441881,0.06058470159769058,0.9297272489097247,8.197678056253304
blk.2.attn_output.weight,attn_o,2,Q4_0,44040192,8000000,True,0.012614118028423896,0.14730645846043183,0.0048192149615704505,0.05016401782631874,0.9314411882454889,8.317782116622013
blk.2.attn_q.weight,attn_q,2,Q4_0,44040192,8000000,True,0.015106565544490011,0.1515367115177431,0.005966704129856374,0.05737820267677307,0.9296598540997604,8.194821415632576
blk.2.attn_v.weight,attn_v,2,Q4_0,22020096,8000000,True,0.01607068187187952,0.15291363802691793,0.006342966175852118,0.09520453214645386,0.9291217093924681,8.155537791023912
blk.2.ffn_down.weight,ffn_down,2,Q4_1,115605504,8000000,True,0.013452711714803282,0.1540774305959794,0.005292161122631021,0.06826309859752655,0.9300260353042582,8.122609724787054
blk.2.ffn_gate.weight,ffn_gate,2,Q4_0,115605504,8000000,True,0.015594653803475014,0.1538418029787137,0.006121185159367929,0.03894731029868126,0.9285004196256982,8.129256389417169
blk.2.ffn_up.weight,ffn_up,2,Q4_0,115605504,8000000,True,0.01595676347812432,0.1523363599912581,0.006221218074795291,0.03633977100253105,0.9292450982863963,8.171964258897868
blk.3.attn_k.weight,attn_k,3,Q4_0,22020096,8000000,True,0.01594833792722205,0.1532758492426781,0.0062050979911696105,0.05192974582314491,0.9289633444170333,8.145262689349499
blk.3.attn_output.weight,attn_o,3,Q4_0,44040192,8000000,True,0.012478755212374534,0.1474799499988172,0.004779624537323308,0.0562286376953125,0.9313004915208974,8.312670183078621
blk.3.attn_q.weight,attn_q,3,Q4_0,44040192,8000000,True,0.015501670286054585,0.15272152892375965,0.0061047541231848655,0.06525775417685509,0.9292011816394129,8.160997367894268
blk.3.attn_v.weight,attn_v,3,Q4_0,22020096,8000000,True,0.01617199891232056,0.15666078157844796,0.006493792317888846,0.06312152370810509,0.9274361345858135,8.050397110989117
blk.3.ffn_down.weight,ffn_down,3,Q4_1,115605504,8000000,True,0.012491121137541226,0.15334525694976073,0.0049019176829944704,0.05985227972269058,0.9303191346787052,8.14329652432735
blk.3.ffn_gate.weight,ffn_gate,3,Q4_0,115605504,8000000,True,0.016548511314625914,0.15120346674000928,0.006405100214662051,0.05192974582314491,0.9296531573291408,8.204382513692282
blk.3.ffn_up.weight,ffn_up,3,Q4_0,115605504,8000000,True,0.016178882881966894,0.15150322009988268,0.0062664926472299235,0.05192974582314491,0.9295323476854132,8.195781364240634
blk.4.attn_k.weight,attn_k,4,Q4_0,22020096,8000000,True,0.016580068059553244,0.1583908847168542,0.006540625183168491,0.05369481444358826,0.926764505428546,8.00269815366978
blk.4.attn_output.weight,attn_o,4,Q4_0,44040192,8000000,True,0.014895232214912011,0.15437802427950084,0.005839318027246796,0.04978254809975624,0.9284591969032371,8.114145214446232
blk.4.attn_q.weight,attn_q,4,Q4_0,44040192,8000000,True,0.01600785909688267,0.15465314954194254,0.00619816473338204,0.0562572255730629,0.9281965001423119,8.106412310778211
blk.4.attn_v.weight,attn_v,4,Q4_0,22020096,8000000,True,0.017307091871484992,0.1600329810435215,0.00688534539385447,0.1125144511461258,0.9261486083239167,7.957905047868831
blk.4.ffn_down.weight,ffn_down,4,Q4_1,115605504,8000000,True,0.012878883736258513,0.1458203829145619,0.004929739312025599,0.04361972212791443,0.9330256011805604,8.361817656709466
blk.4.ffn_gate.weight,ffn_gate,4,Q4_0,115605504,8000000,True,0.016418768309633784,0.1509961346697646,0.006381468279687211,0.04760226607322693,0.9296650684066292,8.210341700119834
blk.4.ffn_up.weight,ffn_up,4,Q4_0,115605504,8000000,True,0.016031314632433805,0.15066506380317934,0.006223198906077026,0.030492646619677544,0.929869304234447,8.219874401636162
blk.5.attn_k.weight,attn_k,5,Q4_0,11010048,8000000,True,0.016457428737275195,0.15450276902431076,0.006461551635167451,0.07789462059736252,0.9283421267378514,8.11063732671496
blk.5.attn_output.weight,attn_o,5,Q4_0,88080384,8000000,True,0.009755379515514124,0.14874511417138253,0.0037159569628799874,0.05194005370140076,0.9307207966181968,8.27557290629709
blk.5.attn_q.weight,attn_q,5,Q4_0,88080384,8000000,True,0.015097917500233277,0.15091060131069506,0.00603788076724761,0.07323487848043442,0.9298155742666391,8.21280250423113
blk.5.ffn_down.weight,ffn_down,5,Q4_1,115605504,8000000,True,0.011662696079413563,0.14870817925112148,0.004528022510358728,0.04345187544822693,0.9319284210171137,8.276651437447763
blk.5.ffn_gate.weight,ffn_gate,5,Q4_0,115605504,8000000,True,0.01696826738758282,0.1518006927155678,0.006616052705722464,0.05192974582314491,0.9293319361628504,8.187262466100892
